Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
MAC-10,Red Filigree,Restricted,Canals Collection,,,,,,2019.0
Nova,Baroque Orange,Restricted,Canals Collection,,,,,,2019.0
MP9,Stained Glass,Restricted,Canals Collection,,,,,,2019.0
MAG-7,Cinquedea,Restricted,Canals Collection,,,,,,2019.0
AWP,The Prince,Covert,Canals Collection,,,,,,2019.0
P90,Storm,Consumer Grade,Cobblestone Collection,,,,,,2014.0
UMP-45,Indigo,Consumer Grade,Cobblestone Collection,,,,,,2014.0
MAC-10,Indigo,Consumer Grade,Cobblestone Collection,,,,,,2014.0
SCAR-20,Storm,Consumer Grade,Cobblestone Collection,,,,,,2014.0
Dual Berettas,Briar,Consumer Grade,Cobblestone Collection,,,,,,2014.0
USP-S,Royal Blue,Industrial Grade,Cobblestone Collection,,,,,,2014.0
Nova,Green Apple,Industrial Grade,Cobblestone Collection,,,,,,2014.0
MAG-7,Silver,Industrial Grade,Cobblestone Collection,,,,,,2014.0
Sawed-Off,Rust Coat,Industrial Grade,Cobblestone Collection,,,,,,2014.0
P2000,Chainmail,Mil-Spec,Cobblestone Collection,,,,,,2014.0
MP9,Dark Age,Mil-Spec,Cobblestone Collection,,,,,,2014.0
Desert Eagle,Hand Cannon,Restricted,Cobblestone Collection,,,,,,2014.0
CZ75-Auto,Chalice,Restricted,Cobblestone Collection,,,,,,2014.0
M4A1-S,Knight,Classified,Cobblestone Collection,,,,,,2014.0
AWP,Dragon Lore,Covert,Cobblestone Collection,,,,,,2014.0
M4A4,Desert Storm,Industrial Grade,Dust Collection,,,,,,2013.0
SCAR-20,Palm,Industrial Grade,Dust Collection,,,,,,2013.0
AK-47,Predator,Industrial Grade,Dust Collection,,,,,,2013.0
AWP,Snake Camo,Mil-Spec,Dust Collection,,,,,,2013.0
AUG,Copperhead,Mil-Spec,Dust Collection,,,,,,2013.0
Sawed-Off,Copper,Mil-Spec,Dust Collection,,,,,,2013.0
Desert Eagle,Blaze,Restricted,Dust Collection,,,,,,2013.0
P2000,Scorpion,Restricted,Dust Collection,,,,,,2013.0
Glock-18,Brass,Restricted,Dust Collection,,,,,,2013.0
Nova,Predator,Consumer Grade,Dust II Collection,,,,,,2021.0
MP9,Sand Dashed,Consumer Grade,Dust II Collection,,,,,,2021.0
P90,Sand Spray,Consumer Grade,Dust II Collection,,,,,,2021.0
SCAR-20,Sand Mesh,Consumer Grade,Dust II Collection,,,,,,2021.0
P250,Sand Dune,Consumer Grade,Dust II Collection,,,,,,2021.0
G3SG1,Desert Storm,Consumer Grade,Dust II Collection,,,,,,2021.0
Tec-9,VariCamo,Industrial Grade,Dust II Collection,,,,,,2021.0
MAC-10,Palm,Industrial Grade,Dust II Collection,,,,,,2021.0
Five-SeveN,Orange Peel,Industrial Grade,Dust II Collection,,,,,,2021.0
AK-47,Safari Mesh,Industrial Grade,Dust II Collection,,,,,,2021.0
Sawed-Off,Snake Camo,Industrial Grade,Dust II Collection,,,,,,2021.0
M4A1-S,VariCamo,Mil-Spec,Dust II Collection,,,,,,2021.0
PP-Bizon,Brass,Mil-Spec,Dust II Collection,,,,,,2021.0
SG 553,Damascus Steel,Mil-Spec,Dust II Collection,,,,,,2021.0
P2000,Amber Fade,Restricted,Dust II Collection,,,,,,2021.0
R8 Revolver,Amber Fade*,Classified,Dust II Collection,,,,,,2021.0
MAG-7,Sand Dune,Consumer Grade,Inferno Collection,,,,,,2013.0
Nova,Walnut,Consumer Grade,Inferno Collection,,,,,,2013.0
P250,Gunsmoke,Industrial Grade,Inferno Collection,,,,,,2013.0
M4A4,Tornado,Industrial Grade,Inferno Collection,,,,,,2013.0
Dual Berettas,Anodized Navy,Mil-Spec,Inferno Collection,,,,,,2013.0
Tec-9,Brass,Mil-Spec,Inferno Collection,,,,,,2013.0
PP-Bizon,Sand Dashed,Consumer Grade,Italy Collection,,,,,,2013.0
Nova,Sand Dune,Consumer Grade,Italy Collection,,,,,,2013.0
FAMAS,Colony,Consumer Grade,Italy Collection,,,,,,2013.0
AUG,Contractor,Consumer Grade,Italy Collection,,,,,,2013.0
Tec-9,Groundwater,Consumer Grade,Italy Collection,,,,,,2013.0
Nova,Candy Apple,Industrial Grade,Italy Collection,,,,,,2013.0
Dual Berettas,Stained,Industrial Grade,Italy Collection,,,,,,2013.0
P2000,Granite Marbleized,Industrial Grade,Italy Collection,,,,,,2013.0
UMP-45,Gunsmoke,Industrial Grade,Italy Collection,,,,,,2013.0
M4A1-S,Boreal Forest,Industrial Grade,Italy Collection,,,,,,2013.0
XM1014,CaliCamo,Industrial Grade,Italy Collection,,,,,,2013.0
MP7,Anodized Navy,Mil-Spec,Italy Collection,,,,,,2013.0
Glock-18,Candy Apple,Mil-Spec,Italy Collection,,,,,,2013.0
Sawed-Off,Full Stop,Mil-Spec,Italy Collection,,,,,,2013.0
AWP,Pit Viper,Restricted,Italy Collection,,,,,,2013.0
G3SG1,Jungle Dashed,Consumer Grade,Lake Collection,,,,,,2013.0
SG 553,Waves Perforated,Consumer Grade,Lake Collection,,,,,,2013.0
Galil AR,Sage Spray,Consumer Grade,Lake Collection,,,,,,2013.0
AUG,Storm,Consumer Grade,Lake Collection,,,,,,2013.0
XM1014,Blue Spruce,Consumer Grade,Lake Collection,,,,,,2013.0
P250,Boreal Forest,Consumer Grade,Lake Collection,,,,,,2013.0
XM1014,Blue Steel,Industrial Grade,Lake Collection,,,,,,2013.0
FAMAS,Cyanospatter,Industrial Grade,Lake Collection,,,,,,2013.0
PP-Bizon,Night Ops,Industrial Grade,Lake Collection,,,,,,2013.0
AWP,Safari Mesh,Industrial Grade,Lake Collection,,,,,,2013.0
Desert Eagle,Mudder,Industrial Grade,Lake Collection,,,,,,2013.0
SG 553,Anodized Navy,Mil-Spec,Lake Collection,,,,,,2013.0
P90,Teardown,Mil-Spec,Lake Collection,,,,,,2013.0
USP-S,Night Ops,Mil-Spec,Lake Collection,,,,,,2013.0
Dual Berettas,Cobalt Quartz,Restricted,Lake Collection,,,,,,2013.0
XM1014,Grassland,Consumer Grade,Militia Collection,,,,,,2013.0
MAC-10,Tornado,Consumer Grade,Militia Collection,,,,,,2013.0
PP-Bizon,Forest Leaves,Consumer Grade,Militia Collection,,,,,,2013.0
P2000,Grassland Leaves*,Industrial Grade,Militia Collection,,,,,,2013.0
Nova,Modern Hunter,Mil-Spec,Militia Collection,,,,,,2013.0
Nova,Blaze Orange,Mil-Spec,Militia Collection,,,,,,2013.0
P250,Modern Hunter,Mil-Spec,Militia Collection,,,,,,2013.0
XM1014,Blaze Orange,Mil-Spec,Militia Collection,,,,,,2013.0
PP-Bizon,Modern Hunter,Mil-Spec,Militia Collection,,,,,,2013.0
M4A4,Modern Hunter*,Restricted,Militia Collection,,,,,,2013.0
SCAR-20,Splash Jam,Classified,Militia Collection,,,,,,2013.0
Galil AR,Hunting Blind,Consumer Grade,Mirage Collection,,,,,,2013.0
P90,Scorched,Consumer Grade,Mirage Collection,,,,,,2013.0
G3SG1,Safari Mesh,Consumer Grade,Mirage Collection,,,,,,2013.0
AUG,Colony,Consumer Grade,Mirage Collection,,,,,,2013.0
Five-SeveN,Contractor,Consumer Grade,Mirage Collection,,,,,,2013.0
P250,Bone Mask,Consumer Grade,Mirage Collection,,,,,,2013.0
MP7,Orange Peel,Industrial Grade,Mirage Collection,,,,,,2013.0
Glock-18,Groundwater,Industrial Grade,Mirage Collection,,,,,,2013.0
SG 553,Gator Mesh,Industrial Grade,Mirage Collection,,,,,,2013.0
SSG 08,Tropical Storm,Industrial Grade,Mirage Collection,,,,,,2013.0
Negev,CaliCamo,Industrial Grade,Mirage Collection,,,,,,2013.0
MP9,Hot Rod,Mil-Spec,Mirage Collection,,,,,,2013.0
UMP-45,Blaze,Mil-Spec,Mirage Collection,,,,,,2013.0
MAC-10,Amber Fade,Mil-Spec,Mirage Collection,,,,,,2013.0
MAG-7,Bulldozer,Restricted,Mirage Collection,,,,,,2013.0
MAG-7,Irradiated Alert,Consumer Grade,Nuke Collection,,,,,,2013.0
Sawed-Off,Irradiated Alert,Consumer Grade,Nuke Collection,,,,,,2013.0
PP-Bizon,Irradiated Alert,Consumer Grade,Nuke Collection,,,,,,2013.0
P90,Fallout Warning,Industrial Grade,Nuke Collection,,,,,,2013.0
UMP-45,Fallout Warning,Industrial Grade,Nuke Collection,,,,,,2013.0
XM1014,Fallout Warning,Industrial Grade,Nuke Collection,,,,,,2013.0
M4A4,Radiation Hazard,Mil-Spec,Nuke Collection,,,,,,2013.0
P250,Nuclear Threat,Restricted,Nuke Collection,,,,,,2013.0
Tec-9,Nuclear Threat,Restricted,Nuke Collection,,,,,,2013.0
FAMAS,Contrast Spray,Consumer Grade,Office Collection,,,,,,2013.0
Galil AR,Winter Forest,Industrial Grade,Office Collection,,,,,,2013.0
G3SG1,Arctic Camo,Industrial Grade,Office Collection,,,,,,2013.0
M249,Blizzard Marbleized,Industrial Grade,Office Collection,,,,,,2013.0
P2000,Silver,Mil-Spec,Office Collection,,,,,,2013.0
MP7,Whiteout,Mil-Spec,Office Collection,,,,,,2013.0
Sawed-Off,Sage Spray,Consumer Grade,Overpass Collection,,,,,,2014.0
UMP-45,Scorched,Consumer Grade,Overpass Collection,,,,,,2014.0
M249,Contrast Spray,Consumer Grade,Overpass Collection,,,,,,2014.0
MAG-7,Storm,Consumer Grade,Overpass Collection,,,,,,2014.0
