Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
M4A1-S,Icarus Fell,Restricted,Gods and Monsters Collection,$539.61 USD,$540.90 USD,,,,2015
M4A4,Poseidon,Classified,Gods and Monsters Collection,"$1,552.22 USD","$1,186.13 USD",,,,2015
AWP,Medusa,Covert,Gods and Monsters Collection,,,,,,2015
PP-Bizon,Bamboo Print,Consumer Grade,Rising Sun Collection,$5.30 USD,$3.22 USD,$2.76 USD,$3.12 USD,$2.53 USD,2015
Sawed-Off,Bamboo Shadow,Consumer Grade,Rising Sun Collection,$3.74 USD,$3.21 USD,$3.04 USD,$3.21 USD,$2.51 USD,2015
Tec-9,Bamboo Forest,Consumer Grade,Rising Sun Collection,,,,,,2015
G3SG1,Orange Kimono,Consumer Grade,Rising Sun Collection,$4.48 USD,$3.64 USD,$3.09 USD,$2.54 USD,$2.66 USD,2015
P250,Mint Kimono,Consumer Grade,Rising Sun Collection,$3.83 USD,$3.24 USD,$2.70 USD,$3.58 USD,$2.34 USD,2015
P250,Crimson Kimono,Industrial Grade,Rising Sun Collection,$22.05 USD,$20.58 USD,$19.23 USD,$20.96 USD,$19.27 USD,2015
Desert Eagle,Midnight Storm,Industrial Grade,Rising Sun Collection,$25.98 USD,$264.72 USD,$262.46 USD,$436.83 USD,$257.69 USD,2015
Galil AR,Aqua Terrace,Mil-Spec,Rising Sun Collection,$141.33 USD,$109.25 USD,$104.02 USD,$198.91 USD,$138.44 USD,2015
MAG-7,Counter Terrace,Mil-Spec,Rising Sun Collection,$128.02 USD,$109.97 USD,$106.75 USD,$120.39 USD,$104.02 USD,2015
Tec-9,Terrace,Mil-Spec,Rising Sun Collection,$130.02 USD,$109.05 USD,$113.15 USD,$110.77 USD,$104.02 USD,2015
Five-SeveN,Neon Kimono,Restricted,Rising Sun Collection,$382.61 USD,$285.05 USD,$293.09 USD,$483.03 USD,$246.03 USD,2015
Desert Eagle,Sunset Storm 壱,Restricted,Rising Sun Collection,$331.92 USD,$322.98 USD,$262.46 USD,$471.10 USD,$257.69 USD,2015
Desert Eagle,Sunset Storm 弐,Restricted,Rising Sun Collection,$300.54 USD,$264.72 USD,$263.05 USD,$436.83 USD,$288.31 USD,2015
M4A4,Daybreak,Restricted,Rising Sun Collection,$300.08 USD,$286.96 USD,$267.99 USD,"$1,541.88 USD",,2015
AK-47,Hydroponic,Classified,Rising Sun Collection,,,$901.05 USD,$837.43 USD,$621.08 USD,2015
AUG,Akihabara Accept,Covert,Rising Sun Collection,,,$908.69 USD,$634.18 USD,$393.56 USD,2015
M249,Jungle DDPAT,Consumer Grade,Alpha Collection,$26.79 USD,$3.34 USD,$1.70 USD,$6.93 USD,$2.10 USD,2013
Tec-9,Tornado,Consumer Grade,Alpha Collection,$41.42 USD,$3.87 USD,$1.87 USD,$1.76 USD,$1.74 USD,2013
MP9,Dry Season,Consumer Grade,Alpha Collection,$47.15 USD,$3.01 USD,$1.57 USD,$1.41 USD,$1.67 USD,2013
Five-SeveN,Anodized Gunmetal,Consumer Grade,Alpha Collection,$9.13 USD,$9.55 USD,,,,2013
XM1014,Jungle,Consumer Grade,Alpha Collection,$70.69 USD,$5.24 USD,$2.65 USD,$4.55 USD,$1.96 USD,2013
MP7,Groundwater,Consumer Grade,Alpha Collection,$20.68 USD,$3.04 USD,$1.48 USD,$2.20 USD,$1.56 USD,2013
Glock-18,Sand Dune,Industrial Grade,Alpha Collection,$168.55 USD,$14.63 USD,$5.35 USD,$4.10 USD,$4.90 USD,2013
SSG 08,Mayan Dreams,Industrial Grade,Alpha Collection,$1.83 USD,$0.91 USD,$0.39 USD,$0.66 USD,$0.29 USD,2013
Negev,Palm,Industrial Grade,Alpha Collection,$90.87 USD,$5.95 USD,$4.81 USD,$6.69 USD,$5.22 USD,2013
Sawed-Off,Mosaico,Industrial Grade,Alpha Collection,$22.22 USD,$5.45 USD,$5.98 USD,$9.69 USD,$6.13 USD,2013
P250,Facets,Industrial Grade,Alpha Collection,$17.80 USD,$5.69 USD,$5.06 USD,$4.66 USD,$4.22 USD,2013
AUG,Anodized Navy,Mil-Spec,Alpha Collection,,,,,,2013
MAG-7,Hazard,Mil-Spec,Alpha Collection,$0.22 USD,$0.12 USD,$0.08 USD,$0.09 USD,$0.13 USD,2013
PP-Bizon,Rust Coat,Mil-Spec,Alpha Collection,$34.15 USD,$20.97 USD,$11.17 USD,$11.92 USD,$22.00 USD,2013
FAMAS,Spitfire,Restricted,Alpha Collection,$257.97 USD,$66.19 USD,$17.19 USD,$19.03 USD,$13.51 USD,2013
SCAR-20,Emerald,Restricted,Alpha Collection,$36.10 USD,$107.34 USD,,,$140.70 USD,2013
SG 553,Barricade,Consumer Grade,Norse Collection,$6.25 USD,$4.77 USD,$4.31 USD,$4.13 USD,$4.18 USD,2019
FAMAS,Night Borre,Consumer Grade,Norse Collection,$5.77 USD,$4.73 USD,$4.64 USD,$4.51 USD,$3.96 USD,2019
MP7,Scorched,Consumer Grade,Norse Collection,$7.23 USD,$4.65 USD,$4.22 USD,$4.38 USD,$3.99 USD,2019
Galil AR,Tornado,Consumer Grade,Norse Collection,$6.54 USD,$4.58 USD,$4.26 USD,$4.12 USD,$4.07 USD,2019
SSG 08,Red Stone,Consumer Grade,Norse Collection,$15.10 USD,$4.69 USD,$4.27 USD,$4.26 USD,$4.23 USD,2019
MAG-7,Chainmail,Industrial Grade,Norse Collection,$25.98 USD,$25.89 USD,$26.15 USD,,,2019
M4A1-S,Moss Quartz,Industrial Grade,Norse Collection,$47.58 USD,$31.32 USD,$26.48 USD,$28.57 USD,$25.14 USD,2019
USP-S,Pathfinder,Industrial Grade,Norse Collection,$28.71 USD,$25.93 USD,$25.48 USD,,,2019
Dual Berettas,Pyre,Industrial Grade,Norse Collection,$35.40 USD,$27.23 USD,$26.19 USD,$26.02 USD,$26.01 USD,2019
SCAR-20,Brass,Mil-Spec,Norse Collection,$148.44 USD,$94.23 USD,$114.55 USD,$98.42 USD,$0.39 USD,2019
CZ75-Auto,Emerald Quartz,Mil-Spec,Norse Collection,$120.39 USD,$121.38 USD,$101.56 USD,$145.62 USD,$140.70 USD,2019
MAC-10,Copper Borre,Mil-Spec,Norse Collection,$120.39 USD,$113.08 USD,$108.36 USD,$462.30 USD,$125.10 USD,2019
XM1014,Frost Borre,Mil-Spec,Norse Collection,$154.00 USD,$104.01 USD,$110.25 USD,$116.91 USD,$132.29 USD,2019
P90,Astral Jörmungandr,Restricted,Norse Collection,$342.63 USD,$356.78 USD,$318.53 USD,$460.63 USD,$572.11 USD,2019
AUG,Flame Jörmungandr,Restricted,Norse Collection,$383.17 USD,$361.18 USD,$350.57 USD,$830.25 USD,$478.26 USD,2019
Desert Eagle,Emerald Jörmungandr,Restricted,Norse Collection,,,,,,2019
Negev,Mjölnir,Classified,Norse Collection,,,,,,2019
AWP,Gungnir,Covert,Norse Collection,,,,,,2019
AUG,Surveillance,Consumer Grade,Control Collection,$0.66 USD,$0.48 USD,$0.47 USD,$0.45 USD,$0.44 USD,2020
XM1014,Charter,Consumer Grade,Control Collection,$0.63 USD,$0.48 USD,$0.48 USD,$0.44 USD,$0.44 USD,2020
MP9,Army Sheen,Consumer Grade,Control Collection,$0.63 USD,$0.48 USD,$0.47 USD,,,2020
P250,Forest Night,Consumer Grade,Control Collection,,,,,,2020
CZ75-Auto,Jungle Dashed,Consumer Grade,Control Collection,,,,,,2020
Dual Berettas,Switch Board,Industrial Grade,Control Collection,$3.58 USD,$3.61 USD,$3.43 USD,$3.65 USD,$3.59 USD,2020
Desert Eagle,The Bronze,Industrial Grade,Control Collection,$0.72 USD,$0.39 USD,$0.16 USD,$0.20 USD,$1.02 USD,2020
MAG-7,Carbon Fiber,Industrial Grade,Control Collection,$3.61 USD,$4.21 USD,,,,2020
MP5-SD,Nitro,Industrial Grade,Control Collection,$12.58 USD,$3.66 USD,$3.42 USD,$3.41 USD,$3.36 USD,2020
SCAR-20,Magna Carta,Mil-Spec,Control Collection,$21.86 USD,$21.53 USD,$18.88 USD,$20.73 USD,$21.39 USD,2020
P2000,Dispatch,Mil-Spec,Control Collection,$21.17 USD,$21.65 USD,$19.36 USD,$19.54 USD,$19.74 USD,2020
SSG 08,Threat Detected,Mil-Spec,Control Collection,,,,,,2020
M4A4,Global Offensive,Mil-Spec,Control Collection,$21.46 USD,$20.96 USD,$19.34 USD,$19.70 USD,$20.93 USD,2020
FAMAS,Prime Conspiracy,Restricted,Control Collection,$86.21 USD,$84.88 USD,$84.35 USD,$91.09 USD,$94.31 USD,2020
UMP-45,Crime Scene,Restricted,Control Collection,$93.70 USD,$90.87 USD,$89.19 USD,$95.37 USD,$85.12 USD,2020
Five-SeveN,Berries And Cherries,Restricted,Control Collection,$90.31 USD,$89.07 USD,,,,2020
USP-S,Target Acquired,Classified,Control Collection,$220.00 USD,$177.47 USD,$172.60 USD,$234.79 USD,$172.17 USD,2020
M4A1-S,Blue Phosphor,Classified,Control Collection,$785.37 USD,$874.26 USD,,,,2020
AWP,Fade,Covert,Control Collection,"$1,608.04 USD",,,,,2020
PP-Bizon,Death Rattle,Consumer Grade,Havoc Collection,,,,,,2020
Dual Berettas,Heist,Consumer Grade,Havoc Collection,,,,,,2020
Sawed-Off,Clay Ambush,Consumer Grade,Havoc Collection,$0.50 USD,$0.30 USD,$0.20 USD,$0.29 USD,$0.25 USD,2020
M249,Predator,Consumer Grade,Havoc Collection,$1.41 USD,$0.30 USD,$0.24 USD,$0.25 USD,$0.23 USD,2020
Tec-9,Phoenix Chalk,Consumer Grade,Havoc Collection,$0.49 USD,$0.29 USD,$0.25 USD,$0.28 USD,$0.30 USD,2020
MP7,Vault Heist,Industrial Grade,Havoc Collection,,,,,,2020
R8 Revolver,Phoenix Marker,Industrial Grade,Havoc Collection,$2.37 USD,$1.94 USD,$1.94 USD,$1.99 USD,$1.94 USD,2020
UMP-45,Houndstooth,Industrial Grade,Havoc Collection,$2.22 USD,$1.96 USD,$1.95 USD,$1.99 USD,$1.88 USD,2020
Nova,Rust Coat,Industrial Grade,Havoc Collection,$2.59 USD,$2.01 USD,$1.91 USD,$2.21 USD,$1.93 USD,2020
P90,Tiger Pit,Mil-Spec,Havoc Collection,$11.48 USD,$12.02 USD,$10.91 USD,$11.34 USD,$10.68 USD,2020
Negev,Phoenix Stencil,Mil-Spec,Havoc Collection,$11.50 USD,$12.14 USD,$11.99 USD,$10.82 USD,$12.11 USD,2020
Desert Eagle,Night Heist,Mil-Spec,Havoc Collection,$64.85 USD,$10.58 USD,$9.04 USD,$9.24 USD,$9.16 USD,2020
P250,Bengal Tiger,Mil-Spec,Havoc Collection,$28.64 USD,$11.33 USD,$10.89 USD,$10.59 USD,$10.84 USD,2020
Glock-18,Franklin,Restricted,Havoc Collection,$42.76 USD,$41.28 USD,$45.80 USD,$46.82 USD,,2020
Galil AR,Phoenix Blacklight,Restricted,Havoc Collection,$59.38 USD,$49.50 USD,$42.96 USD,$41.60 USD,$48.66 USD,2020
SG 553,Hypnotic,Restricted,Havoc Collection,$43.85 USD,$53.10 USD,,,,2020
MAC-10,Hot Snakes,Classified,Havoc Collection,$296.51 USD,$272.65 USD,$216.68 USD,$361.51 USD,$156.87 USD,2020
AWP,Silk Tiger,Classified,Havoc Collection,,,,,,2020
AK-47,X-Ray,Covert,Havoc Collection,,"$1,385.78 USD",$857.76 USD,$578.41 USD,$316.89 USD,2020
MP7,Skulls,Mil-Spec,CS:GO Weapon Case,,$20.28 USD,$19.12 USD,,,2013
SG 553,Ultraviolet,Mil-Spec,CS:GO Weapon Case,$42.07 USD,$20.62 USD,$18.85 USD,$18.77 USD,$19.00 USD,2013
AUG,Wings,Mil-Spec,CS:GO Weapon Case,,,,,,2013
M4A1-S,Dark Water,Restricted,CS:GO Weapon Case,,$77.20 USD,$70.02 USD,,,2013
USP-S,Dark Water,Restricted,CS:GO Weapon Case,,$75.92 USD,$68.86 USD,,,2013
Glock-18,Dragon Tattoo,Restricted,CS:GO Weapon Case,$90.80 USD,$88.48 USD,,,,2013
Desert Eagle,Hypnotic,Classified,CS:GO Weapon Case,$115.80 USD,$144.11 USD,,,,2013
AK-47,Case Hardened,Classified,CS:GO Weapon Case,$473.06 USD,$346.07 USD,$286.00 USD,$229.72 USD,$207.92 USD,2013
AWP,Lightning Strike,Covert,CS:GO Weapon Case,$660.00 USD,$874.61 USD,,,,2013
M4A4,Faded Zebra,Mil-Spec,eSports 2013 Case,$19.11 USD,$4.56 USD,$3.88 USD,$4.13 USD,$4.10 USD,2013
FAMAS,Doomkitty,Mil-Spec,eSports 2013 Case,,$4.27 USD,$4.03 USD,,,2013
MAG-7,Memento,Mil-Spec,eSports 2013 Case,$7.34 USD,$4.27 USD,$4.14 USD,,,2013
Sawed-Off,Orange DDPAT,Restricted,eSports 2013 Case,$53.69 USD,$16.87 USD,$12.58 USD,$14.66 USD,$13.60 USD,2013
P250,Splash,Restricted,eSports 2013 Case,$43.49 USD,$22.34 USD,$32.53 USD,,,2013
Galil AR,Orange DDPAT,Restricted,eSports 2013 Case,,,,,,2013
AK-47,Red Laminate,Classified,eSports 2013 Case,$785.64 USD,$67.92 USD,$41.21 USD,$45.52 USD,$46.88 USD,2013
AWP,BOOM,Classified,eSports 2013 Case,$457.90 USD,$107.45 USD,$88.30 USD,,,2013
P90,Death by Kitty,Covert,eSports 2013 Case,,$60.04 USD,$41.92 USD,,,2013
Nova,Tempest,Mil-Spec,Operation Bravo Case,$14.44 USD,$8.14 USD,$7.33 USD,,,2013
Dual Berettas,Black Limba,Mil-Spec,Operation Bravo Case,$23.14 USD,$7.68 USD,$7.46 USD,$6.60 USD,$6.62 USD,2013
UMP-45,Bone Pile,Mil-Spec,Operation Bravo Case,$16.65 USD,$8.22 USD,$7.68 USD,,,2013
SG 553,Wave Spray,Mil-Spec,Operation Bravo Case,,,,,,2013
Galil AR,Shattered,Mil-Spec,Operation Bravo Case,$21.30 USD,$8.00 USD,$7.87 USD,$6.49 USD,$6.50 USD,2013
G3SG1,Demeter,Mil-Spec,Operation Bravo Case,$18.19 USD,$8.31 USD,$7.84 USD,$6.69 USD,$7.23 USD,2013
M4A1-S,Bright Water,Restricted,Operation Bravo Case,,$28.85 USD,$26.59 USD,,,2013
M4A4,Zirka,Restricted,Operation Bravo Case,$41.56 USD,$27.59 USD,$25.28 USD,$24.87 USD,,2013
MAC-10,Graven,Restricted,Operation Bravo Case,$59.04 USD,$30.23 USD,$25.46 USD,$28.07 USD,$23.13 USD,2013
USP-S,Overgrowth,Restricted,Operation Bravo Case,$84.17 USD,$31.82 USD,$25.72 USD,$24.58 USD,$24.87 USD,2013
P90,Emerald Dragon,Classified,Operation Bravo Case,$478.26 USD,$137.50 USD,$102.43 USD,$143.47 USD,$110.78 USD,2013
P2000,Ocean Foam,Classified,Operation Bravo Case,$143.48 USD,$171.25 USD,,,,2013
AWP,Graphite,Classified,Operation Bravo Case,$180.02 USD,$180.43 USD,,,,2013
Desert Eagle,Golden Koi,Covert,Operation Bravo Case,$94.32 USD,$91.09 USD,,,,2013
AK-47,Fire Serpent,Covert,Operation Bravo Case,,"$1,728.95 USD","$1,021.65 USD",,$672.87 USD,2013
Tec-9,Blue Titanium,Mil-Spec,CS:GO Weapon Case 2,$7.60 USD,,,,,2013
M4A1-S,Blood Tiger,Mil-Spec,CS:GO Weapon Case 2,$5.97 USD,$2.13 USD,$2.23 USD,,,2013
FAMAS,Hexane,Mil-Spec,CS:GO Weapon Case 2,$7.13 USD,$6.05 USD,$5.17 USD,$4.64 USD,,2013
P250,Hive,Mil-Spec,CS:GO Weapon Case 2,$7.17 USD,$6.40 USD,$5.17 USD,,,2013
SCAR-20,Crimson Web,Mil-Spec,CS:GO Weapon Case 2,,,,,,2013
Five-SeveN,Case Hardened,Restricted,CS:GO Weapon Case 2,,,,,,2013
MP9,Hypnotic,Restricted,CS:GO Weapon Case 2,$12.68 USD,$17.71 USD,,,,2013
Nova,Graphite,Restricted,CS:GO Weapon Case 2,,,,,,2013
Dual Berettas,Hemoglobin,Restricted,CS:GO Weapon Case 2,$11.94 USD,$10.36 USD,$10.61 USD,,,2013
P90,Cold Blooded,Classified,CS:GO Weapon Case 2,$71.28 USD,$75.21 USD,,,,2013
USP-S,Serum,Classified,CS:GO Weapon Case 2,,,,,,2013
SSG 08,Blood in the Water,Covert,CS:GO Weapon Case 2,$74.39 USD,$2.04 USD,$2.23 USD,,,2013
PP-Bizon,Cobalt Halftone,Mil-Spec,Winter Offensive Weapon Case,$2.70 USD,$1.10 USD,$1.14 USD,$1.00 USD,,2013
M249,Magma,Mil-Spec,Winter Offensive Weapon Case,$1.12 USD,$1.04 USD,$1.05 USD,$0.93 USD,$1.02 USD,2013
Five-SeveN,Kami,Mil-Spec,Winter Offensive Weapon Case,$1.57 USD,$1.16 USD,$1.05 USD,,,2013
Galil AR,Sandstorm,Mil-Spec,Winter Offensive Weapon Case,,$3.20 USD,$0.96 USD,$1.26 USD,$1.08 USD,2013
Nova,Rising Skull,Restricted,Winter Offensive Weapon Case,$7.10 USD,$6.05 USD,$5.15 USD,$5.85 USD,$5.00 USD,2013
MP9,Rose Iron,Restricted,Winter Offensive Weapon Case,$6.86 USD,$6.29 USD,$6.01 USD,,,2013
Dual Berettas,Marina,Restricted,Winter Offensive Weapon Case,$22.26 USD,$5.98 USD,$4.56 USD,$6.28 USD,$7.79 USD,2013
FAMAS,Pulse,Restricted,Winter Offensive Weapon Case,$6.96 USD,$5.98 USD,$5.97 USD,$7.82 USD,,2013
AWP,Redline,Classified,Winter Offensive Weapon Case,,$66.66 USD,$36.67 USD,$54.68 USD,,2013
P250,Mehndi,Classified,Winter Offensive Weapon Case,$22.48 USD,$14.37 USD,$13.40 USD,$13.11 USD,$13.26 USD,2013
M4A1-S,Guardian,Classified,Winter Offensive Weapon Case,$5.31 USD,$3.54 USD,$2.40 USD,$21.96 USD,$21.09 USD,2013
Sawed-Off,The Kraken,Covert,Winter Offensive Weapon Case,$8.31 USD,$5.31 USD,$5.12 USD,$10.83 USD,,2013
M4A4,Asiimov,Covert,Winter Offensive Weapon Case,,,$167.67 USD,$117.16 USD,$63.14 USD,2013
Galil AR,Blue Titanium,Mil-Spec,eSports 2013 Winter Case,$3.58 USD,,,,,2013
Five-SeveN,Nightshade,Mil-Spec,eSports 2013 Winter Case,$1.82 USD,$1.67 USD,$1.45 USD,$1.41 USD,$1.34 USD,2013
PP-Bizon,Water Sigil,Mil-Spec,eSports 2013 Winter Case,,,,,,2013
Nova,Ghost Camo,Mil-Spec,eSports 2013 Winter Case,,,,,,2013
G3SG1,Azure Zebra,Mil-Spec,eSports 2013 Winter Case,$1.73 USD,$1.45 USD,$1.37 USD,,,2013
P250,Steel Disruption,Mil-Spec,eSports 2013 Winter Case,$1.89 USD,$1.67 USD,$1.73 USD,,,2013
AK-47,Blue Laminate,Restricted,eSports 2013 Winter Case,,,,,,2013
P90,Blind Spot,Restricted,eSports 2013 Winter Case,,,,,,2013
FAMAS,Afterimage,Classified,eSports 2013 Winter Case,$61.10 USD,$29.67 USD,$26.15 USD,$60.25 USD,,2013
AWP,Electric Hive,Classified,eSports 2013 Winter Case,$64.42 USD,$41.32 USD,$31.44 USD,$47.77 USD,,2013
Desert Eagle,Cobalt Disruption,Classified,eSports 2013 Winter Case,$90.69 USD,$71.86 USD,$72.33 USD,,,2013
M4A4,X-Ray,Covert,eSports 2013 Winter Case,$18.74 USD,$15.55 USD,$16.11 USD,,,2013
CZ75-Auto,Crimson Web,Mil-Spec,CS:GO Weapon Case 3,,,,,,2014
P2000,Red FragCam,Mil-Spec,CS:GO Weapon Case 3,$2.31 USD,$1.70 USD,$1.41 USD,$1.36 USD,$1.26 USD,2014
Dual Berettas,Panther,Mil-Spec,CS:GO Weapon Case 3,$3.26 USD,$2.32 USD,$1.81 USD,$2.00 USD,$2.05 USD,2014
USP-S,Stainless,Mil-Spec,CS:GO Weapon Case 3,$21.65 USD,$8.41 USD,$3.71 USD,$6.58 USD,$2.78 USD,2014
Glock-18,Blue Fissure,Mil-Spec,CS:GO Weapon Case 3,$18.83 USD,$1.89 USD,$1.43 USD,$2.15 USD,$1.55 USD,2014
CZ75-Auto,Tread Plate,Restricted,CS:GO Weapon Case 3,,,,,,2014
Tec-9,Titanium Bit,Restricted,CS:GO Weapon Case 3,$7.76 USD,$6.87 USD,$6.62 USD,,,2014
Desert Eagle,Heirloom,Restricted,CS:GO Weapon Case 3,$17.69 USD,$9.41 USD,$5.61 USD,$6.69 USD,$6.18 USD,2014
Five-SeveN,Copper Galaxy,Restricted,CS:GO Weapon Case 3,$11.15 USD,$9.52 USD,$9.39 USD,,,2014
CZ75-Auto,The Fuschia Is Now,Classified,CS:GO Weapon Case 3,$57.87 USD,$34.08 USD,$20.19 USD,$52.78 USD,,2014
P250,Undertow,Classified,CS:GO Weapon Case 3,,,,,,2014
CZ75-Auto,Victoria,Covert,CS:GO Weapon Case 3,$12.94 USD,$6.93 USD,$5.47 USD,$11.36 USD,$5.35 USD,2014
UMP-45,Corporal,Mil-Spec,Operation Phoenix Weapon Case,$1.28 USD,$0.30 USD,$0.24 USD,$0.27 USD,$0.26 USD,2014
Negev,Terrain,Mil-Spec,Operation Phoenix Weapon Case,$0.44 USD,$0.33 USD,$0.26 USD,$0.23 USD,,2014
Tec-9,Sandstorm,Mil-Spec,Operation Phoenix Weapon Case,,$1.35 USD,$0.24 USD,$0.26 USD,$0.22 USD,2014
MAG-7,Heaven Guard,Mil-Spec,Operation Phoenix Weapon Case,$0.44 USD,$0.30 USD,$0.25 USD,$0.31 USD,,2014
MAC-10,Heat,Restricted,Operation Phoenix Weapon Case,$5.97 USD,$3.52 USD,$2.16 USD,$1.84 USD,$1.79 USD,2014
SG 553,Pulse,Restricted,Operation Phoenix Weapon Case,,$3.83 USD,$2.21 USD,$2.11 USD,$1.95 USD,2014
FAMAS,Sergeant,Restricted,Operation Phoenix Weapon Case,,$4.43 USD,$2.20 USD,$1.90 USD,$1.61 USD,2014
USP-S,Guardian,Restricted,Operation Phoenix Weapon Case,$30.84 USD,$24.27 USD,$20.24 USD,$21.96 USD,$21.09 USD,2014
AK-47,Redline,Classified,Operation Phoenix Weapon Case,,,,,,2014
P90,Trigon,Classified,Operation Phoenix Weapon Case,,,,,,2014
Nova,Antique,Classified,Operation Phoenix Weapon Case,,,,,,2014
AWP,Asiimov,Covert,Operation Phoenix Weapon Case,,,,,,2014
AUG,Chameleon,Covert,Operation Phoenix Weapon Case,$5.06 USD,$3.58 USD,$2.99 USD,$3.61 USD,$3.77 USD,2014
Tec-9,Isaac,Mil-Spec,Huntsman Weapon Case,$10.91 USD,$2.99 USD,$2.77 USD,$2.49 USD,$2.48 USD,2014
SSG 08,Slashed,Mil-Spec,Huntsman Weapon Case,,,$2.71 USD,$2.62 USD,$2.67 USD,2014
Dual Berettas,Retribution **,Mil-Spec,Huntsman Weapon Case,$4.70 USD,$4.00 USD,$4.64 USD,$8.12 USD,,2014
Galil AR,Kami,Mil-Spec,Huntsman Weapon Case,$3.37 USD,$2.75 USD,$2.78 USD,$2.60 USD,$2.68 USD,2014
P90,Desert Warfare **,Mil-Spec,Huntsman Weapon Case,$3.46 USD,$2.88 USD,$2.87 USD,$4.40 USD,$4.73 USD,2014
CZ75-Auto,Poison Dart **,Mil-Spec,Huntsman Weapon Case,$9.82 USD,$3.13 USD,$2.89 USD,$38.50 USD,$3.14 USD,2014
CZ75-Auto,Twist *,Mil-Spec,Huntsman Weapon Case,$2.95 USD,$2.66 USD,$2.88 USD,$2.40 USD,$2.54 USD,2014
P90,Module *,Mil-Spec,Huntsman Weapon Case,$2.78 USD,$2.72 USD,$2.83 USD,,,2014
P2000,Pulse *,Mil-Spec,Huntsman Weapon Case,$2.88 USD,$2.75 USD,$2.72 USD,$3.37 USD,$2.64 USD,2014
AUG,Torque,Restricted,Huntsman Weapon Case,$10.67 USD,$7.82 USD,$7.27 USD,$7.19 USD,$6.52 USD,2014
PP-Bizon,Antique,Restricted,Huntsman Weapon Case,$10.89 USD,$7.71 USD,$7.37 USD,$7.32 USD,$6.73 USD,2014
XM1014,Heaven Guard,Restricted,Huntsman Weapon Case,$12.90 USD,$7.70 USD,$7.04 USD,$7.07 USD,$6.78 USD,2014
MAC-10,Curse **,Restricted,Huntsman Weapon Case,$11.02 USD,$7.87 USD,$8.71 USD,$9.87 USD,$10.81 USD,2014
MAC-10,Tatter *,Restricted,Huntsman Weapon Case,$10.18 USD,$8.40 USD,$7.01 USD,$6.77 USD,$8.04 USD,2014
M4A1-S,Atomic Alloy,Classified,Huntsman Weapon Case,,,,,,2014
SCAR-20,Cyrex,Classified,Huntsman Weapon Case,$65.78 USD,$48.98 USD,$39.83 USD,$41.84 USD,$19.70 USD,2014
USP-S,Orion **,Classified,Huntsman Weapon Case,$62.37 USD,$52.08 USD,$49.36 USD,$60.46 USD,$79.97 USD,2014
USP-S,Caiman *,Classified,Huntsman Weapon Case,$60.14 USD,$48.05 USD,$38.63 USD,$45.10 USD,,2014
AK-47,Vulcan,Covert,Huntsman Weapon Case,$959.83 USD,$530.21 USD,$274.87 USD,$148.26 USD,$87.58 USD,2014
M4A4,Desert-Strike *,Covert,Huntsman Weapon Case,$52.48 USD,$17.77 USD,$15.47 USD,$14.46 USD,$15.27 USD,2014
M4A4,Howl **,Contraband,Huntsman Weapon Case,,,,,,2014
MP7,Urban Hazard,Mil-Spec,Operation Breakout Weapon Case,$0.22 USD,$0.13 USD,$0.08 USD,$0.09 USD,$0.13 USD,2014
Negev,Desert-Strike,Mil-Spec,Operation Breakout Weapon Case,$0.22 USD,$0.11 USD,$0.08 USD,$0.09 USD,$0.09 USD,2014
P2000,Ivory,Mil-Spec,Operation Breakout Weapon Case,,,,,,2014
SSG 08,Abyss,Mil-Spec,Operation Breakout Weapon Case,$3.04 USD,$0.62 USD,$0.20 USD,$0.12 USD,$0.13 USD,2014
UMP-45,Labyrinth,Mil-Spec,Operation Breakout Weapon Case,$110.00 USD,$110.78 USD,$119.30 USD,$278.28 USD,,2014
PP-Bizon,Osiris,Restricted,Operation Breakout Weapon Case,$1.44 USD,$0.78 USD,$0.60 USD,$0.51 USD,$0.58 USD,2014
CZ75-Auto,Tigris,Restricted,Operation Breakout Weapon Case,$1.76 USD,$0.86 USD,$0.52 USD,$0.45 USD,$0.46 USD,2014
Nova,Koi,Restricted,Operation Breakout Weapon Case,$1.52 USD,$0.84 USD,$0.64 USD,,,2014
P250,Supernova,Restricted,Operation Breakout Weapon Case,$1.44 USD,$0.78 USD,$0.59 USD,$1.11 USD,,2014
Desert Eagle,Conspiracy,Classified,Operation Breakout Weapon Case,$9.29 USD,$6.27 USD,$5.45 USD,,,2014
Five-SeveN,Fowl Play,Classified,Operation Breakout Weapon Case,$8.60 USD,$4.12 USD,$2.37 USD,$2.20 USD,$2.14 USD,2014
Glock-18,Water Elemental,Classified,Operation Breakout Weapon Case,$13.11 USD,$7.12 USD,$4.18 USD,$6.20 USD,$3.45 USD,2014
P90,Asiimov,Covert,Operation Breakout Weapon Case,$41.50 USD,$22.25 USD,$3.22 USD,$2.65 USD,$1.57 USD,2014
M4A1-S,Cyrex,Covert,Operation Breakout Weapon Case,$3.45 USD,$1.83 USD,$1.14 USD,$1.55 USD,$1.07 USD,2014
SSG 08,Dark Water,Mil-Spec,eSports 2014 Summer Case,$74.39 USD,$48.11 USD,$51.78 USD,,,2014
MAC-10,Ultraviolet,Mil-Spec,eSports 2014 Summer Case,$35.17 USD,$3.05 USD,$2.10 USD,$2.01 USD,$1.34 USD,2014
