Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
Tec-9,Toxic,Mil-Spec,Cache Collection,$8.40 USD,$6.61 USD,$5.06 USD,$4.81 USD,$4.60 USD,2014
FAMAS,Styx,Restricted,Cache Collection,$9.13 USD,$5.40 USD,$2.68 USD,$4.92 USD,$3.70 USD,2014
Galil AR,Cerberus,Restricted,Cache Collection,$76.82 USD,$44.25 USD,$21.05 USD,$15.47 USD,$11.95 USD,2014
CZ75-Auto,Indigo,Consumer Grade,Canals Collection,$4.49 USD,$1.66 USD,$1.24 USD,$1.17 USD,$1.03 USD,2019
AUG,Navy Murano,Consumer Grade,Canals Collection,$4.45 USD,$1.54 USD,$1.23 USD,$1.06 USD,$1.04 USD,2019
R8 Revolver,Canal Spray,Consumer Grade,Canals Collection,$4.67 USD,$1.48 USD,$1.17 USD,$1.15 USD,$1.27 USD,2019
Negev,Boroque Sand,Consumer Grade,Canals Collection,$5.25 USD,$1.63 USD,$1.12 USD,$1.08 USD,$1.05 USD,2019
SCAR-20,Stone Mosaico,Consumer Grade,Canals Collection,$4.08 USD,$1.43 USD,$1.22 USD,$1.05 USD,$1.11 USD,2019
AK-47,Baroque Purple,Industrial Grade,Canals Collection,$15.49 USD,$6.03 USD,$5.53 USD,$5.30 USD,$5.28 USD,2019
SG 553,Candy Apple,Industrial Grade,Canals Collection,$7.87 USD,$6.53 USD,$5.74 USD,$5.00 USD,$6.09 USD,2019
Tec-9,Orange Murano,Industrial Grade,Canals Collection,$9.26 USD,$6.21 USD,$5.70 USD,$5.57 USD,$6.02 USD,2019
P250,Dark Filigree,Industrial Grade,Canals Collection,$7.94 USD,$7.31 USD,$6.28 USD,$5.77 USD,$5.54 USD,2019
Dual Berettas,Emerald,Mil-Spec,Canals Collection,$35.50 USD,$67.55 USD,,,,2019
P90,Baroque Red,Mil-Spec,Canals Collection,$30.08 USD,$28.87 USD,$27.24 USD,$44.59 USD,$68.00 USD,2019
SSG 08,Orange Filigree,Mil-Spec,Canals Collection,$32.50 USD,$26.52 USD,$31.44 USD,$30.59 USD,$29.67 USD,2019
G3SG1,Violet Murano,Mil-Spec,Canals Collection,,,,,,2019
MAC-10,Red Filigree,Restricted,Canals Collection,,,,,,2019
Nova,Baroque Orange,Restricted,Canals Collection,,,,,,2019
MP9,Stained Glass,Restricted,Canals Collection,,,,,,2019
MAG-7,Cinquedea,Restricted,Canals Collection,$874.51 USD,$902.81 USD,$800.01 USD,$805.89 USD,$669.57 USD,2019
AWP,The Prince,Covert,Canals Collection,,,,,,2019
P90,Storm,Consumer Grade,Cobblestone Collection,$12.62 USD,$2.89 USD,$2.51 USD,$2.40 USD,$2.28 USD,2014
UMP-45,Indigo,Consumer Grade,Cobblestone Collection,$10.46 USD,$2.75 USD,$2.35 USD,$2.47 USD,$2.29 USD,2014
MAC-10,Indigo,Consumer Grade,Cobblestone Collection,$20.49 USD,$3.10 USD,$2.29 USD,$2.35 USD,$2.29 USD,2014
SCAR-20,Storm,Consumer Grade,Cobblestone Collection,$7.04 USD,$2.93 USD,$2.32 USD,$2.31 USD,$61.25 USD,2014
Dual Berettas,Briar,Consumer Grade,Cobblestone Collection,$4.88 USD,$2.86 USD,$2.53 USD,,,2014
USP-S,Royal Blue,Industrial Grade,Cobblestone Collection,$68.12 USD,$14.68 USD,$14.05 USD,$12.65 USD,$13.35 USD,2014
Nova,Green Apple,Industrial Grade,Cobblestone Collection,$18.49 USD,$14.11 USD,$13.65 USD,,,2014
MAG-7,Silver,Industrial Grade,Cobblestone Collection,$19.61 USD,$18.18 USD,,,,2014
Sawed-Off,Rust Coat,Industrial Grade,Cobblestone Collection,$18.65 USD,$15.67 USD,$13.32 USD,$11.84 USD,$13.03 USD,2014
P2000,Chainmail,Mil-Spec,Cobblestone Collection,$108.46 USD,$102.45 USD,$120.50 USD,,,2014
MP9,Dark Age,Mil-Spec,Cobblestone Collection,$103.86 USD,$108.94 USD,$112.87 USD,,,2014
Desert Eagle,Hand Cannon,Restricted,Cobblestone Collection,$526.09 USD,$428.13 USD,$506.96 USD,$929.81 USD,$554.33 USD,2014
CZ75-Auto,Chalice,Restricted,Cobblestone Collection,$533.83 USD,$492.17 USD,,,,2014
M4A1-S,Knight,Classified,Cobblestone Collection,,,,,,2014
AWP,Dragon Lore,Covert,Cobblestone Collection,,,,,,2014
M4A4,Desert Storm,Industrial Grade,Dust Collection,$52.48 USD,$17.69 USD,$15.29 USD,$14.46 USD,$15.27 USD,2013
SCAR-20,Palm,Industrial Grade,Dust Collection,$83.96 USD,$18.08 USD,$15.35 USD,$15.42 USD,$2.53 USD,2013
AK-47,Predator,Industrial Grade,Dust Collection,$72.42 USD,$19.92 USD,$16.17 USD,$15.67 USD,$16.74 USD,2013
AWP,Snake Camo,Mil-Spec,Dust Collection,$314.36 USD,$94.32 USD,$83.85 USD,$104.80 USD,$89.59 USD,2013
AUG,Copperhead,Mil-Spec,Dust Collection,,$97.61 USD,$87.61 USD,,,2013
Sawed-Off,Copper,Mil-Spec,Dust Collection,$191.75 USD,$116.13 USD,$110.59 USD,$104.79 USD,$105.11 USD,2013
Desert Eagle,Blaze,Restricted,Dust Collection,$0.48 USD,$0.27 USD,$0.19 USD,$0.20 USD,$0.20 USD,2013
P2000,Scorpion,Restricted,Dust Collection,$7.82 USD,$26.92 USD,,,,2013
Glock-18,Brass,Restricted,Dust Collection,,,,,,2013
Nova,Predator,Consumer Grade,Dust II Collection,,,,,,2021
MP9,Sand Dashed,Consumer Grade,Dust II Collection,,,,,,2021
P90,Sand Spray,Consumer Grade,Dust II Collection,$0.09 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2021
SCAR-20,Sand Mesh,Consumer Grade,Dust II Collection,$0.09 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2021
P250,Sand Dune,Consumer Grade,Dust II Collection,$0.22 USD,$0.03 USD,$0.02 USD,$0.02 USD,$0.02 USD,2021
G3SG1,Desert Storm,Consumer Grade,Dust II Collection,$0.08 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2021
Tec-9,VariCamo,Industrial Grade,Dust II Collection,$0.19 USD,$0.12 USD,$0.08 USD,$0.06 USD,$0.05 USD,2021
MAC-10,Palm,Industrial Grade,Dust II Collection,$0.35 USD,$0.12 USD,$0.08 USD,$0.06 USD,$0.05 USD,2021
Five-SeveN,Orange Peel,Industrial Grade,Dust II Collection,$0.33 USD,$0.12 USD,$0.07 USD,$0.06 USD,$0.05 USD,2021
AK-47,Safari Mesh,Industrial Grade,Dust II Collection,$3.02 USD,$0.28 USD,$0.09 USD,$0.11 USD,$0.09 USD,2021
Sawed-Off,Snake Camo,Industrial Grade,Dust II Collection,$0.26 USD,$0.12 USD,$0.08 USD,$0.06 USD,$0.05 USD,2021
M4A1-S,VariCamo,Mil-Spec,Dust II Collection,$0.13 USD,$0.08 USD,$0.06 USD,$0.07 USD,$0.06 USD,2021
PP-Bizon,Brass,Mil-Spec,Dust II Collection,$2.97 USD,$1.21 USD,$0.70 USD,$0.46 USD,$0.39 USD,2021
SG 553,Damascus Steel,Mil-Spec,Dust II Collection,$1.54 USD,$1.21 USD,$0.69 USD,$0.47 USD,$0.41 USD,2021
P2000,Amber Fade,Restricted,Dust II Collection,$11.24 USD,$5.75 USD,$3.83 USD,$3.13 USD,,2021
R8 Revolver,Amber Fade*,Classified,Dust II Collection,$18.19 USD,$8.50 USD,$5.95 USD,$7.99 USD,,2021
MAG-7,Sand Dune,Consumer Grade,Inferno Collection,$19.12 USD,$2.59 USD,$1.27 USD,$1.11 USD,$1.21 USD,2013
Nova,Walnut,Consumer Grade,Inferno Collection,$22.68 USD,$2.75 USD,$1.27 USD,$1.32 USD,$1.23 USD,2013
